"fixture_path","sha256","event_count","fixture_group","data_origin","synthetic","biological_material","human_subject_information","deidentification_status","deidentification_basis","redistribution_status","redistribution_basis","experiment","biological_replicate","technical_replicate","condition","population","source_archive_path","source_archive_sha256_match","source_fcs","source_workspace","preparation_code","gate_path","mapping_approval","gate_approval","compensation","transforms","acquisition_software","flowjo_version","export_software","export_date","event_identity_preserved","original_hash_publication_status","provenance_status","evidence","notes"
"inst/extdata/example/rep1_2h_edu_positive.csv","b379f97e543f3a620408908621adcb99c251d773e87d97fcc887aac41a097519",8813,"EdU","genuine derived experimental data","no","HCT116 human cell line","none; individual not identifiable from fixture data","no formal or informal de-identification review","no identifiers or metadata deliberately removed; data owner reviewed current filenames and column labels and attested no sensitive or identifying information","authorized","Sansam Lab/OMRF data-owner authorization for public Git and installed R package redistribution under CC BY-NC 4.0","EdU",1,"not applicable","2h Auxin","edu_positive","publication_bundle/data/derived/analysis/rep1_2h_edu_positive.csv","yes","publication_bundle/data/raw/rep01/rep01_02h.fcs","publication_bundle/data/raw/rep01/workspace.wsp","publication_bundle/code/export_gates.py and publication_bundle/code/prepare_data.py (documented reconstruction)","All Events → Cells → Single Cells → EDU Positive","Christopher Sansam, PI, Sansam Lab","Christopher Sansam, PI, Sansam Lab","none applied","saved transformations reapplied for gating; exported columns are raw acquisition measurements","CytoFLEX instrument software; product name and version unknown","10.9.0 in archived reconstruction workspace; original export context not established","FlowKit 1.3.2 (documented reconstruction)","unknown","no","not published by data-owner direction","experimental lineage established by exact hash match","local SHA-256 and byte comparison to same-named publication archive file; data-owner attestations for biological and authorization fields","no formal de-identification review; exact CSV export date unknown"
"inst/extdata/example/rep1_2h_g1.csv","530bb9772457089a3121e9d615850431e925b192804f35674d6c1f40f45dba6c",2023,"EdU","genuine derived experimental data","no","HCT116 human cell line","none; individual not identifiable from fixture data","no formal or informal de-identification review","no identifiers or metadata deliberately removed; data owner reviewed current filenames and column labels and attested no sensitive or identifying information","authorized","Sansam Lab/OMRF data-owner authorization for public Git and installed R package redistribution under CC BY-NC 4.0","EdU",1,"not applicable","2h Auxin","g1","publication_bundle/data/derived/analysis/rep1_2h_g1.csv","yes","publication_bundle/data/raw/rep01/rep01_02h.fcs","publication_bundle/data/raw/rep01/workspace.wsp","publication_bundle/code/export_gates.py and publication_bundle/code/prepare_data.py (documented reconstruction)","All Events → Cells → Single Cells → G1","Christopher Sansam, PI, Sansam Lab","Christopher Sansam, PI, Sansam Lab","none applied","saved transformations reapplied for gating; exported columns are raw acquisition measurements","CytoFLEX instrument software; product name and version unknown","10.9.0 in archived reconstruction workspace; original export context not established","FlowKit 1.3.2 (documented reconstruction)","unknown","no","not published by data-owner direction","experimental lineage established by exact hash match","local SHA-256 and byte comparison to same-named publication archive file; data-owner attestations for biological and authorization fields","no formal de-identification review; exact CSV export date unknown"
"inst/extdata/example/rep1_2h_single_cells.csv","882d846e5e87b470a4329b2613c271a30bb764ece574fdc2b3dfcfc743afbeff",18412,"EdU","genuine derived experimental data","no","HCT116 human cell line","none; individual not identifiable from fixture data","no formal or informal de-identification review","no identifiers or metadata deliberately removed; data owner reviewed current filenames and column labels and attested no sensitive or identifying information","authorized","Sansam Lab/OMRF data-owner authorization for public Git and installed R package redistribution under CC BY-NC 4.0","EdU",1,"not applicable","2h Auxin","single_cells","publication_bundle/data/derived/analysis/rep1_2h_single_cells.csv","yes","publication_bundle/data/raw/rep01/rep01_02h.fcs","publication_bundle/data/raw/rep01/workspace.wsp","publication_bundle/code/export_gates.py and publication_bundle/code/prepare_data.py (documented reconstruction)","All Events → Cells → Single Cells","Christopher Sansam, PI, Sansam Lab","Christopher Sansam, PI, Sansam Lab","none applied","saved transformations reapplied for gating; exported columns are raw acquisition measurements","CytoFLEX instrument software; product name and version unknown","10.9.0 in archived reconstruction workspace; original export context not established","FlowKit 1.3.2 (documented reconstruction)","unknown","no","not published by data-owner direction","experimental lineage established by exact hash match","local SHA-256 and byte comparison to same-named publication archive file; data-owner attestations for biological and authorization fields","no formal de-identification review; exact CSV export date unknown"
"inst/extdata/example/rep1_4h_edu_positive.csv","d9993a230846d43b426a20a107b88734daaefb946b6ee228d163fffb69c3b205",8535,"EdU","genuine derived experimental data","no","HCT116 human cell line","none; individual not identifiable from fixture data","no formal or informal de-identification review","no identifiers or metadata deliberately removed; data owner reviewed current filenames and column labels and attested no sensitive or identifying information","authorized","Sansam Lab/OMRF data-owner authorization for public Git and installed R package redistribution under CC BY-NC 4.0","EdU",1,"not applicable","4h Auxin","edu_positive","publication_bundle/data/derived/analysis/rep1_4h_edu_positive.csv","yes","publication_bundle/data/raw/rep01/rep01_04h.fcs","publication_bundle/data/raw/rep01/workspace.wsp","publication_bundle/code/export_gates.py and publication_bundle/code/prepare_data.py (documented reconstruction)","All Events → Cells → Single Cells → EDU Positive","Christopher Sansam, PI, Sansam Lab","Christopher Sansam, PI, Sansam Lab","none applied","saved transformations reapplied for gating; exported columns are raw acquisition measurements","CytoFLEX instrument software; product name and version unknown","10.9.0 in archived reconstruction workspace; original export context not established","FlowKit 1.3.2 (documented reconstruction)","unknown","no","not published by data-owner direction","experimental lineage established by exact hash match","local SHA-256 and byte comparison to same-named publication archive file; data-owner attestations for biological and authorization fields","no formal de-identification review; exact CSV export date unknown"
"inst/extdata/example/rep1_4h_g1.csv","4c567db2ded8a6e9d2d718cc59bf176903b3664d053dde6445cc865b7170728d",2882,"EdU","genuine derived experimental data","no","HCT116 human cell line","none; individual not identifiable from fixture data","no formal or informal de-identification review","no identifiers or metadata deliberately removed; data owner reviewed current filenames and column labels and attested no sensitive or identifying information","authorized","Sansam Lab/OMRF data-owner authorization for public Git and installed R package redistribution under CC BY-NC 4.0","EdU",1,"not applicable","4h Auxin","g1","publication_bundle/data/derived/analysis/rep1_4h_g1.csv","yes","publication_bundle/data/raw/rep01/rep01_04h.fcs","publication_bundle/data/raw/rep01/workspace.wsp","publication_bundle/code/export_gates.py and publication_bundle/code/prepare_data.py (documented reconstruction)","All Events → Cells → Single Cells → G1","Christopher Sansam, PI, Sansam Lab","Christopher Sansam, PI, Sansam Lab","none applied","saved transformations reapplied for gating; exported columns are raw acquisition measurements","CytoFLEX instrument software; product name and version unknown","10.9.0 in archived reconstruction workspace; original export context not established","FlowKit 1.3.2 (documented reconstruction)","unknown","no","not published by data-owner direction","experimental lineage established by exact hash match","local SHA-256 and byte comparison to same-named publication archive file; data-owner attestations for biological and authorization fields","no formal de-identification review; exact CSV export date unknown"
"inst/extdata/example/rep1_4h_single_cells.csv","34e0c23e99237015703e283f5a70c6cb8bb02d8306901ac8d0e4d2ca7c1e9355",18546,"EdU","genuine derived experimental data","no","HCT116 human cell line","none; individual not identifiable from fixture data","no formal or informal de-identification review","no identifiers or metadata deliberately removed; data owner reviewed current filenames and column labels and attested no sensitive or identifying information","authorized","Sansam Lab/OMRF data-owner authorization for public Git and installed R package redistribution under CC BY-NC 4.0","EdU",1,"not applicable","4h Auxin","single_cells","publication_bundle/data/derived/analysis/rep1_4h_single_cells.csv","yes","publication_bundle/data/raw/rep01/rep01_04h.fcs","publication_bundle/data/raw/rep01/workspace.wsp","publication_bundle/code/export_gates.py and publication_bundle/code/prepare_data.py (documented reconstruction)","All Events → Cells → Single Cells","Christopher Sansam, PI, Sansam Lab","Christopher Sansam, PI, Sansam Lab","none applied","saved transformations reapplied for gating; exported columns are raw acquisition measurements","CytoFLEX instrument software; product name and version unknown","10.9.0 in archived reconstruction workspace; original export context not established","FlowKit 1.3.2 (documented reconstruction)","unknown","no","not published by data-owner direction","experimental lineage established by exact hash match","local SHA-256 and byte comparison to same-named publication archive file; data-owner attestations for biological and authorization fields","no formal de-identification review; exact CSV export date unknown"
"inst/extdata/example/rep1_NT_edu_positive.csv","064af778f3a47663ab4a776646d122acfc414c2d46b8f1f86958c6cc5c5a988b",9381,"EdU","genuine derived experimental data","no","HCT116 human cell line","none; individual not identifiable from fixture data","no formal or informal de-identification review","no identifiers or metadata deliberately removed; data owner reviewed current filenames and column labels and attested no sensitive or identifying information","authorized","Sansam Lab/OMRF data-owner authorization for public Git and installed R package redistribution under CC BY-NC 4.0","EdU",1,"not applicable","Untreated","edu_positive","publication_bundle/data/derived/analysis/rep1_NT_edu_positive.csv","yes","publication_bundle/data/raw/rep01/rep01_NT.fcs","publication_bundle/data/raw/rep01/workspace.wsp","publication_bundle/code/export_gates.py and publication_bundle/code/prepare_data.py (documented reconstruction)","All Events → Cells → Single Cells → EDU Positive","Christopher Sansam, PI, Sansam Lab","Christopher Sansam, PI, Sansam Lab","none applied","saved transformations reapplied for gating; exported columns are raw acquisition measurements","CytoFLEX instrument software; product name and version unknown","10.9.0 in archived reconstruction workspace; original export context not established","FlowKit 1.3.2 (documented reconstruction)","unknown","no","not published by data-owner direction","experimental lineage established by exact hash match","local SHA-256 and byte comparison to same-named publication archive file; data-owner attestations for biological and authorization fields","no formal de-identification review; exact CSV export date unknown"
"inst/extdata/example/rep1_NT_g1.csv","cd174ce1f9f8989189286166458a649dd805245c642298a9e0ba93582c1316e6",2047,"EdU","genuine derived experimental data","no","HCT116 human cell line","none; individual not identifiable from fixture data","no formal or informal de-identification review","no identifiers or metadata deliberately removed; data owner reviewed current filenames and column labels and attested no sensitive or identifying information","authorized","Sansam Lab/OMRF data-owner authorization for public Git and installed R package redistribution under CC BY-NC 4.0","EdU",1,"not applicable","Untreated","g1","publication_bundle/data/derived/analysis/rep1_NT_g1.csv","yes","publication_bundle/data/raw/rep01/rep01_NT.fcs","publication_bundle/data/raw/rep01/workspace.wsp","publication_bundle/code/export_gates.py and publication_bundle/code/prepare_data.py (documented reconstruction)","All Events → Cells → Single Cells → G1","Christopher Sansam, PI, Sansam Lab","Christopher Sansam, PI, Sansam Lab","none applied","saved transformations reapplied for gating; exported columns are raw acquisition measurements","CytoFLEX instrument software; product name and version unknown","10.9.0 in archived reconstruction workspace; original export context not established","FlowKit 1.3.2 (documented reconstruction)","unknown","no","not published by data-owner direction","experimental lineage established by exact hash match","local SHA-256 and byte comparison to same-named publication archive file; data-owner attestations for biological and authorization fields","no formal de-identification review; exact CSV export date unknown"
"inst/extdata/example/rep1_NT_single_cells.csv","97f4b7fda234010bb6a9b44bacbaadd04766de9eed5bce70b7919fa7c4c28558",18724,"EdU","genuine derived experimental data","no","HCT116 human cell line","none; individual not identifiable from fixture data","no formal or informal de-identification review","no identifiers or metadata deliberately removed; data owner reviewed current filenames and column labels and attested no sensitive or identifying information","authorized","Sansam Lab/OMRF data-owner authorization for public Git and installed R package redistribution under CC BY-NC 4.0","EdU",1,"not applicable","Untreated","single_cells","publication_bundle/data/derived/analysis/rep1_NT_single_cells.csv","yes","publication_bundle/data/raw/rep01/rep01_NT.fcs","publication_bundle/data/raw/rep01/workspace.wsp","publication_bundle/code/export_gates.py and publication_bundle/code/prepare_data.py (documented reconstruction)","All Events → Cells → Single Cells","Christopher Sansam, PI, Sansam Lab","Christopher Sansam, PI, Sansam Lab","none applied","saved transformations reapplied for gating; exported columns are raw acquisition measurements","CytoFLEX instrument software; product name and version unknown","10.9.0 in archived reconstruction workspace; original export context not established","FlowKit 1.3.2 (documented reconstruction)","unknown","no","not published by data-owner direction","experimental lineage established by exact hash match","local SHA-256 and byte comparison to same-named publication archive file; data-owner attestations for biological and authorization fields","no formal de-identification review; exact CSV export date unknown"
"inst/extdata/example/rep2_2h_edu_positive.csv","bad623260e705722fcf8af792c0e50c68e6454109b9a9621517ae14ff559bdb4",8962,"EdU","genuine derived experimental data","no","HCT116 human cell line","none; individual not identifiable from fixture data","no formal or informal de-identification review","no identifiers or metadata deliberately removed; data owner reviewed current filenames and column labels and attested no sensitive or identifying information","authorized","Sansam Lab/OMRF data-owner authorization for public Git and installed R package redistribution under CC BY-NC 4.0","EdU",2,"not applicable","2h Auxin","edu_positive","publication_bundle/data/derived/analysis/rep2_2h_edu_positive.csv","yes","publication_bundle/data/raw/rep02/rep02_02h.fcs","publication_bundle/data/raw/rep02/workspace.wsp","publication_bundle/code/export_gates.py and publication_bundle/code/prepare_data.py (documented reconstruction)","All Events → Cells → Single Cells → S","Christopher Sansam, PI, Sansam Lab","Christopher Sansam, PI, Sansam Lab","none applied","saved transformations reapplied for gating; exported columns are raw acquisition measurements","CytoFLEX instrument software; product name and version unknown","10.9.0 in archived reconstruction workspace; original export context not established","FlowKit 1.3.2 (documented reconstruction)","unknown","no","not published by data-owner direction","experimental lineage established by exact hash match","local SHA-256 and byte comparison to same-named publication archive file; data-owner attestations for biological and authorization fields","no formal de-identification review; exact CSV export date unknown"
