Propidium Iodide PE-A,Alexa-647 APC-A
306255.90625,7348.10009765625
305649.90625,7860.10009765625
289332.3125,6708.2001953125
309921.3125,7877.2998046875
303266.3125,8158.2001953125
298569.1875,8400.900390625
307030.3125,8061.5
287644.0,6729.5
296151.1875,6752.0
293268.90625,7728.60009765625
306667.8125,6573.7001953125
291527.1875,6442.5
287252.5,6983.5
295914.6875,8029.10009765625
308123.59375,7973.7998046875
298865.8125,6137.5
293787.1875,6929.0
286642.8125,6595.7998046875
300233.59375,7683.7001953125
302421.8125,7110.2001953125
308041.59375,8236.2998046875
300536.3125,6688.89990234375
307605.59375,7131.7001953125
302672.0,7079.60009765625
288619.8125,6358.60009765625
294099.90625,7215.60009765625
306112.90625,7701.2998046875
299644.90625,6381.0
292359.90625,6917.7998046875
299563.6875,6077.89990234375
303312.40625,6235.89990234375
288765.6875,6733.0
306121.40625,8191.7998046875
302851.40625,6305.5
292259.40625,6294.2998046875
305284.90625,7184.39990234375
302474.40625,6909.7001953125
301888.40625,6388.7998046875
300959.59375,6633.2001953125
290946.1875,6763.10009765625
290990.59375,6535.2001953125
301317.5,7179.7001953125
289847.0,7163.10009765625
292023.90625,6289.7998046875
302832.59375,6549.7998046875
304277.90625,8754.2998046875
294267.09375,5981.5
286647.40625,6581.2998046875
292691.09375,7252.7001953125
294592.1875,8232.599609375
293290.59375,6186.7998046875
298334.90625,6778.39990234375
290607.5,7522.89990234375
304036.1875,6550.7001953125
300860.6875,6625.5
308675.6875,7208.2998046875
304126.90625,6823.10009765625
308315.6875,7328.2001953125
302489.59375,7305.2998046875
296813.6875,7677.0
292056.6875,6909.39990234375
289284.40625,7417.39990234375
303287.90625,7030.0
306199.3125,7914.5
301919.09375,8637.900390625
293369.90625,5971.2001953125
292450.6875,6365.7001953125
296165.5,6315.10009765625
307627.0,7172.2998046875
298993.09375,7880.10009765625
303878.5,6599.60009765625
297577.90625,6015.2001953125
295934.09375,6112.10009765625
303112.09375,6764.39990234375
295160.5,6443.0
297047.90625,7062.2998046875
292637.59375,6447.2998046875
289937.90625,7469.7001953125
297407.59375,7707.2998046875
303749.1875,7062.89990234375
286633.59375,6989.10009765625
305451.59375,6900.7001953125
303752.90625,7238.39990234375
294985.6875,7474.10009765625
