Propidium Iodide PE-A,Alexa-647 APC-A
297815.5,18443.099609375
271300.8125,5001.7001953125
269394.09375,6052.2001953125
381165.8125,9846.2001953125
289089.59375,6188.7998046875
528226.875,13041.7001953125
542280.1875,12103.099609375
257969.90625,50120.5
305138.59375,66026.0
521013.8125,164160.796875
318606.59375,39399.19921875
280146.1875,5755.10009765625
550454.875,11429.7998046875
382965.8125,206720.90625
276060.1875,4662.7001953125
269788.1875,18081.80078125
343029.59375,127176.5
319840.8125,12186.7001953125
324636.40625,3926.10009765625
287307.6875,6464.2001953125
564755.1875,10415.7001953125
341986.8125,7883.5
563101.125,11941.2998046875
361681.09375,154476.203125
403480.09375,163394.203125
572192.3125,15056.7998046875
409995.1875,192658.59375
280340.90625,5473.39990234375
474721.8125,169703.796875
438426.1875,173022.0
463964.1875,95711.1015625
386455.5,230004.703125
330385.5,63726.0
583192.0,17792.30078125
544367.875,12005.7998046875
280018.59375,5155.5
310788.3125,6169.39990234375
373979.3125,138105.59375
286783.59375,5493.7001953125
300829.3125,7150.60009765625
343212.3125,90109.5
550513.8125,29267.599609375
578386.0,16244.599609375
274921.0,5905.0
261536.796875,6427.7001953125
495528.09375,164157.703125
413246.8125,195358.703125
477894.40625,158443.703125
274619.1875,6073.10009765625
319780.90625,73497.0
333714.59375,111855.5
522779.8125,10677.2998046875
491474.09375,244406.703125
281596.0,7793.10009765625
262934.90625,6079.2998046875
460604.3125,12740.900390625
507548.6875,19719.69921875
590330.875,12268.400390625
313676.6875,11736.5
273670.09375,5287.2001953125
562488.625,34528.30078125
532066.375,134197.0
475714.59375,48954.0
561523.125,18306.69921875
294738.6875,6710.60009765625
532542.3125,33499.8984375
290825.1875,27291.30078125
538234.1875,5893.5
449390.59375,195082.0
464264.40625,186800.59375
306519.40625,97507.5
267700.6875,9611.2001953125
367740.8125,198989.5
270816.09375,6336.2998046875
279672.09375,5866.2001953125
322000.3125,78353.296875
561170.1875,91500.796875
501571.0,291344.1875
283736.59375,6406.0
283732.8125,7421.2998046875
463717.6875,214739.09375
290691.5,6155.2998046875
550089.125,97597.0
548167.1875,9898.599609375
284092.3125,6174.89990234375
266683.40625,6804.5
318215.59375,22224.19921875
295833.0,5801.7001953125
294835.5,6887.5
553859.0,146986.5
280865.3125,6513.10009765625
288419.5,6802.60009765625
328301.8125,26744.5
321620.0,44301.5
290108.1875,5562.0
287493.40625,5761.60009765625
514050.5,116950.6015625
276913.3125,5748.2001953125
303443.59375,41807.80078125
334039.40625,11018.2001953125
490460.59375,325045.0
295063.3125,6046.7998046875
367001.09375,9339.2001953125
288241.0,6140.10009765625
513742.3125,33767.69921875
351918.09375,141741.203125
565477.375,9925.2001953125
502333.6875,180579.09375
445766.09375,228622.0
437862.3125,159065.796875
287840.5,5879.60009765625
487778.90625,177536.796875
287695.3125,5454.39990234375
265899.6875,10918.2001953125
252535.203125,6255.7998046875
286322.1875,6481.7001953125
433519.59375,8527.599609375
560975.375,14906.5
528897.8125,126260.0
382432.59375,184543.703125
530414.625,12775.7001953125
501302.8125,160649.296875
293122.1875,6721.60009765625
278106.6875,5330.2998046875
566358.5,11711.2001953125
358441.8125,182858.296875
287777.5,5190.0
312881.5,9108.7998046875
330633.5,26380.900390625
321594.40625,136912.796875
431314.59375,239353.0
296836.8125,6073.89990234375
253975.40625,6317.5
438085.8125,156001.09375
