Propidium Iodide PE-A,Alexa-647 APC-A
244858.5,13007.599609375
531449.125,284296.59375
321874.0,62730.5
276910.6875,59518.19921875
322848.09375,52909.1015625
547688.375,274770.09375
390842.6875,218226.09375
305747.1875,17483.599609375
493699.8125,250052.90625
480277.3125,380511.90625
307084.09375,59555.1015625
264824.0,25677.099609375
379598.6875,221350.203125
410985.6875,272760.59375
302204.5,21383.0
385399.0,256461.203125
355119.90625,195660.703125
262979.3125,30315.900390625
429720.0,284223.59375
405888.09375,288707.59375
475615.5,253649.40625
335119.5,65840.6015625
312613.5,24773.0
425817.09375,285180.59375
516391.6875,399766.59375
272123.8125,63107.1015625
359279.3125,21086.69921875
295223.0,154367.5
543374.125,276322.6875
457709.8125,354562.90625
447773.09375,202466.59375
510588.5,123658.0
279249.6875,27017.19921875
313382.5,195424.40625
453202.40625,178402.59375
366919.40625,191207.40625
313890.0,98913.5
328310.09375,30711.099609375
442231.09375,305589.6875
331567.40625,101732.1015625
553934.375,334371.40625
286342.5,23457.0
308986.5,57864.19921875
326977.0,142487.09375
497908.1875,285389.6875
444477.09375,309513.59375
458248.8125,333258.90625
578983.625,286585.09375
493216.09375,323068.09375
560007.625,294386.6875
389054.40625,269410.90625
335590.8125,97857.3984375
295754.40625,248076.40625
258409.90625,33403.0
286277.40625,55526.3984375
582773.8125,91427.3984375
393641.6875,269157.90625
521193.0,342808.1875
323366.90625,67717.8984375
358011.3125,223002.40625
332038.1875,132778.90625
317554.3125,77048.8984375
501777.8125,361474.1875
581628.8125,214143.40625
320991.59375,117330.0
409810.1875,246596.59375
358494.6875,249940.40625
354464.40625,183231.40625
417955.8125,236571.203125
316367.5,25511.19921875
272160.3125,13177.900390625
508785.90625,221498.40625
327690.3125,83807.203125
316529.8125,14267.900390625
368622.0,208399.203125
408651.90625,308492.90625
441210.09375,292838.5
531477.1875,320866.59375
348128.0,136534.796875
298209.90625,13808.900390625
369342.8125,152625.90625
413857.40625,258398.90625
343050.0,114878.703125
490403.6875,409608.09375
284877.40625,239262.5
332016.0,47834.6015625
432282.40625,266165.1875
