Propidium Iodide PE-A,Alexa-647 APC-A
307355.0,8457.599609375
293483.59375,8072.10009765625
303858.59375,8133.60009765625
301757.5,7634.0
290521.5,7011.2001953125
307972.1875,8576.099609375
300756.3125,7094.89990234375
294772.3125,8742.400390625
309981.90625,8231.2001953125
304475.3125,9433.400390625
298989.8125,7828.39990234375
300477.90625,8637.400390625
303843.0,8278.7001953125
290009.59375,7007.7001953125
300699.09375,7853.10009765625
310550.40625,8721.7001953125
288443.8125,7255.0
294544.59375,8177.5
306353.8125,7889.39990234375
290500.0,7200.39990234375
301132.90625,8601.900390625
301903.09375,7003.10009765625
303022.8125,7557.2001953125
302144.6875,7324.7001953125
306014.09375,8083.2001953125
295336.8125,7792.5
306701.8125,8112.2001953125
298531.09375,8201.7001953125
305012.3125,7125.89990234375
298832.59375,7488.89990234375
300985.40625,8783.7001953125
293416.3125,7547.39990234375
303195.3125,8211.7998046875
303221.6875,8763.7001953125
301996.3125,7166.2998046875
295037.90625,7918.10009765625
309226.59375,9070.099609375
307505.5,9523.099609375
302761.5,7090.89990234375
306935.1875,7710.60009765625
299335.40625,7353.7998046875
308543.90625,9389.900390625
295756.40625,8506.2998046875
305078.59375,7281.60009765625
292161.59375,8194.599609375
301736.09375,8886.599609375
294314.1875,8174.39990234375
296156.3125,6692.2001953125
289445.40625,7482.2998046875
301355.09375,7556.60009765625
298389.40625,7955.2998046875
293786.3125,6852.2998046875
305757.3125,9282.400390625
296563.8125,8807.2998046875
299225.0,6989.2001953125
287720.3125,7344.89990234375
307757.6875,7885.7001953125
293303.1875,6868.60009765625
293985.0,7488.2001953125
293627.8125,7275.2001953125
299651.40625,8423.400390625
302039.8125,7962.39990234375
301684.6875,6901.7001953125
299484.6875,7090.7001953125
298873.40625,7884.7001953125
299371.8125,8209.7001953125
302051.6875,8363.400390625
289714.0,6820.2001953125
308317.6875,8047.2001953125
301176.1875,7917.89990234375
293223.0,7328.2001953125
300656.5,7345.89990234375
296902.09375,7634.39990234375
296307.5,8162.7001953125
287550.8125,8031.39990234375
290281.90625,7211.0
297466.8125,7188.60009765625
303667.59375,7883.89990234375
286753.59375,7520.89990234375
300118.5,7678.2001953125
294350.0,7951.7001953125
293459.0,7859.5
299894.90625,8427.2001953125
306800.6875,7859.89990234375
289397.0,7388.10009765625
287443.59375,7508.60009765625
300060.1875,8002.7998046875
296286.1875,8969.7001953125
300558.1875,7739.5
305121.8125,9117.2998046875
309509.6875,8781.0
298386.1875,6737.2998046875
298767.6875,6878.5
303907.40625,7211.2001953125
302086.5,7277.60009765625
297439.1875,7509.7998046875
301164.59375,7180.7001953125
303941.90625,7586.2998046875
310561.0,8317.7998046875
308611.59375,8386.2001953125
296345.5,7789.7001953125
305319.6875,7446.5
296428.09375,7917.60009765625
295786.59375,6616.5
294045.6875,6986.0
296851.40625,7593.7001953125
302746.59375,7793.10009765625
297838.40625,7784.7001953125
297488.0,8031.0
305720.40625,7720.2001953125
297771.1875,8041.2998046875
296690.59375,6959.60009765625
302390.09375,7464.2001953125
298292.40625,8235.7001953125
296465.1875,7074.7001953125
293366.0,7861.2998046875
304704.0,8119.39990234375
289633.0,7016.2001953125
291701.5,6731.60009765625
303384.5,8535.2001953125
307088.09375,8421.5
295488.59375,8457.900390625
297751.5,8760.2001953125
301059.6875,9220.0
300468.8125,8675.599609375
295713.1875,7496.0
294698.40625,9227.099609375
304529.59375,7274.2998046875
306857.1875,9083.900390625
290614.40625,6868.60009765625
299022.8125,6869.89990234375
303366.8125,8830.0
299442.09375,9446.0
302692.90625,7276.2001953125
303907.1875,8252.900390625
301239.09375,7635.2998046875
304027.6875,8307.400390625
304471.40625,9091.2001953125
288497.09375,7060.7998046875
307027.6875,8823.2998046875
308894.40625,8771.099609375
296246.59375,7681.60009765625
295305.0,7058.10009765625
296854.6875,7318.60009765625
288602.59375,7526.10009765625
300761.8125,9634.099609375
302796.0,8688.7001953125
294321.0,6697.7998046875
300187.5,7983.60009765625
301275.8125,6823.7998046875
301484.09375,8776.5
293158.3125,7324.7998046875
305183.6875,8259.7001953125
294665.3125,7015.7001953125
300075.09375,7962.7001953125
295498.8125,7477.60009765625
294719.3125,8125.5
287806.1875,8184.60009765625
299035.90625,7247.2001953125
295234.3125,7091.39990234375
292048.0,8115.0
299096.8125,7446.5
292242.40625,8090.2001953125
291473.5,8037.0
305832.40625,8244.099609375
303620.59375,9262.0
298375.5,7756.5
298253.90625,7492.10009765625
297490.0,8076.5
299887.8125,7342.7001953125
300213.90625,7687.60009765625
298541.90625,7291.5
295131.8125,6897.2998046875
292717.09375,7774.2998046875
291034.8125,7330.7998046875
309212.90625,8132.7001953125
287724.1875,8125.39990234375
295466.6875,7020.2998046875
295413.8125,8659.099609375
302463.09375,8359.2998046875
298483.6875,6937.2998046875
292474.90625,8740.7998046875
297995.59375,6889.10009765625
305993.59375,7323.89990234375
301304.09375,7501.89990234375
293363.90625,7108.10009765625
304164.8125,7811.5
295160.8125,7934.5
292100.6875,9045.400390625
305873.6875,7199.2001953125
287546.6875,7532.89990234375
307649.09375,8414.7998046875
