Propidium Iodide PE-A,Alexa-647 APC-A
534869.3125,12453.400390625
244858.5,13007.599609375
531449.125,284296.59375
321874.0,62730.5
295717.09375,13144.599609375
240255.09375,6308.2001953125
307355.0,8457.599609375
293483.59375,8072.10009765625
551223.0,13149.5
276910.6875,59518.19921875
322848.09375,52909.1015625
547688.375,274770.09375
390842.6875,218226.09375
286471.5,6796.7001953125
570957.875,16397.69921875
305747.1875,17483.599609375
493699.8125,250052.90625
572482.5,14605.599609375
303858.59375,8133.60009765625
563707.5,18781.0
282203.1875,6107.2001953125
351428.09375,15133.7001953125
606133.5,16278.400390625
480277.3125,380511.90625
307084.09375,59555.1015625
301757.5,7634.0
264824.0,25677.099609375
317123.09375,12654.599609375
582989.0,14581.0
379598.6875,221350.203125
308933.09375,7526.60009765625
312661.0,9176.400390625
410985.6875,272760.59375
565216.5,12155.2001953125
302204.5,21383.0
385399.0,256461.203125
355119.90625,195660.703125
262979.3125,30315.900390625
429720.0,284223.59375
291983.09375,6100.10009765625
405888.09375,288707.59375
475615.5,253649.40625
580447.875,14455.099609375
294243.90625,12034.900390625
290565.8125,6389.39990234375
335119.5,65840.6015625
306691.09375,11694.599609375
312613.5,24773.0
303508.1875,6761.2001953125
425817.09375,285180.59375
516391.6875,399766.59375
290521.5,7011.2001953125
271235.0,4409.7001953125
311224.40625,9366.7001953125
395196.1875,11148.599609375
272123.8125,63107.1015625
359279.3125,21086.69921875
585636.5,15679.099609375
282592.59375,6221.60009765625
295223.0,154367.5
283323.6875,5151.7001953125
543374.125,276322.6875
589421.375,16687.099609375
457709.8125,354562.90625
447773.09375,202466.59375
510588.5,123658.0
279249.6875,27017.19921875
305341.09375,7086.7001953125
313382.5,195424.40625
453202.40625,178402.59375
366919.40625,191207.40625
307972.1875,8576.099609375
271140.0,11872.599609375
593770.625,12564.099609375
313890.0,98913.5
328310.09375,30711.099609375
442231.09375,305589.6875
331567.40625,101732.1015625
553934.375,334371.40625
567094.5,13668.2001953125
286342.5,23457.0
308986.5,57864.19921875
300756.3125,7094.89990234375
326977.0,142487.09375
346286.5,8626.5
497908.1875,285389.6875
444477.09375,309513.59375
297861.40625,5314.10009765625
458248.8125,333258.90625
578983.625,286585.09375
493216.09375,323068.09375
560007.625,294386.6875
307772.40625,12934.599609375
389054.40625,269410.90625
268302.90625,6562.7001953125
335590.8125,97857.3984375
391578.8125,16850.900390625
546132.0,9954.7001953125
313940.1875,10192.599609375
295754.40625,248076.40625
579624.875,16265.900390625
258409.90625,33403.0
429300.8125,11099.900390625
