Propidium Iodide PE-A,Alexa-647 APC-A
317568.1875,35395.30078125
452504.40625,188554.90625
571780.1875,57226.0
331415.40625,73642.0
347341.3125,93426.296875
355914.90625,42642.8984375
319842.0,85887.296875
386223.5,139419.0
421233.1875,58609.5
555865.0,51881.30078125
543134.3125,114854.796875
349254.6875,29529.30078125
322169.40625,50801.5
510576.40625,100948.703125
368330.40625,83692.6015625
472414.1875,105219.3984375
550011.0,56134.80078125
394260.90625,135190.5
553450.8125,159375.796875
546204.6875,100254.0
563350.6875,43464.3984375
438007.90625,162834.40625
514600.6875,142043.40625
361090.59375,134249.296875
451198.1875,166414.296875
286362.6875,91603.296875
347222.59375,83405.6015625
317255.0,114137.0
497627.6875,180185.0
525764.5,208803.796875
296116.90625,121999.5
328426.90625,49712.8984375
360824.0,123896.296875
533946.1875,173533.796875
340992.6875,158800.59375
331189.0,109984.0
387453.0,120738.703125
525884.125,33805.1015625
296957.59375,32480.80078125
482929.09375,183679.59375
290796.59375,61396.5
306392.8125,35770.80078125
484522.0,137035.5
521476.59375,100528.0
427171.5,167830.5
501691.8125,166526.203125
466784.6875,163340.296875
558406.0,48926.1015625
568392.0,208714.59375
505872.6875,127537.796875
312388.90625,80729.796875
338327.0,43256.80078125
359260.0,164542.0
455734.0,207712.90625
335742.09375,52258.0
373464.59375,115432.6015625
433744.40625,104806.203125
468586.8125,200763.09375
479048.6875,162307.5
559988.875,201074.296875
318891.09375,30975.5
311254.5,19693.19921875
376139.0,180320.5
541392.0,66868.3984375
463884.09375,161483.5
530324.1875,216187.0
552169.5,102061.0
511760.40625,187498.40625
577523.375,112038.6015625
522854.40625,223193.203125
297610.5,51728.80078125
378821.09375,93897.0
423731.0,146711.5
288648.09375,42675.30078125
321954.59375,50165.30078125
561856.125,196716.59375
317133.5,76125.703125
383081.59375,110506.796875
504957.09375,239204.0
352224.59375,122147.0
561412.0,95854.0
491536.59375,247461.59375
304498.90625,61076.1015625
356870.8125,96641.1015625
311623.0,29968.80078125
334249.09375,34725.0
306090.40625,32174.5
310664.8125,31509.099609375
373395.1875,125294.3984375
506537.09375,191300.59375
388454.5,104855.796875
450168.3125,156165.296875
412226.0,167224.90625
490447.6875,146811.0
440606.90625,244512.703125
448083.59375,110239.6015625
356353.0,139536.796875
363354.09375,92176.5
430612.3125,178752.796875
386956.09375,175704.09375
444210.3125,151721.59375
306870.90625,47920.8984375
477691.90625,119424.1015625
454381.0,141680.59375
312316.8125,57250.6015625
450371.0,169549.296875
316392.59375,37452.30078125
386417.40625,167918.796875
466830.90625,90563.296875
500873.59375,163370.5
409776.09375,167920.5
572827.125,124664.0
480570.59375,90818.796875
490611.09375,138726.59375
417739.59375,217177.0
540716.5,204339.203125
424805.8125,25522.30078125
389385.09375,172985.0
406632.3125,129231.703125
340651.40625,67129.703125
435698.0,104777.6015625
420093.8125,150782.5
397204.59375,153423.09375
337550.1875,19101.80078125
548453.125,79032.1015625
478192.59375,194242.0
404031.3125,130500.796875
331740.3125,138334.09375
508984.8125,54266.6015625
320115.59375,19366.30078125
545810.875,122791.796875
332457.8125,139907.796875
591547.5,77440.8984375
420610.09375,136220.296875
586375.6875,33840.0
548758.8125,59212.69921875
462999.8125,231818.203125
438225.90625,182506.203125
329662.0,49737.1015625
454698.8125,235966.796875
393533.59375,186254.09375
352310.09375,107858.796875
486236.6875,159405.796875
355460.5,110791.796875
328570.90625,87346.796875
344358.5,64826.8984375
421076.8125,153223.59375
540523.125,160503.09375
290884.8125,19157.099609375
361394.3125,203269.09375
372406.3125,144475.203125
293725.0,62288.1015625
414805.0,146879.59375
296706.1875,41760.8984375
386455.0,159810.40625
565768.5,30667.69921875
504142.5,114697.8984375
319171.1875,31841.5
572070.1875,110901.796875
411935.59375,160937.09375
318646.59375,25915.0
516645.59375,210331.796875
320303.40625,70659.203125
297538.40625,23922.099609375
343858.90625,68285.203125
422755.3125,136053.703125
390796.3125,149344.796875
510424.40625,184652.40625
374852.09375,122296.203125
542960.6875,192223.59375
420867.40625,166952.203125
522245.6875,216000.09375
372818.3125,126503.796875
390412.09375,146278.703125
482676.40625,156179.703125
298412.6875,72273.5
423948.1875,134431.703125
576638.875,65854.6015625
537444.375,162380.59375
411947.40625,171340.703125
498647.8125,100585.8984375
437468.5,138230.5
328590.8125,19968.69921875
450610.90625,191108.703125
532803.625,114737.296875
384570.6875,62446.8984375
483803.5,177144.90625
447913.5,134334.59375
501224.8125,217846.40625
502686.8125,155117.90625
311258.3125,47639.19921875
308876.6875,65867.1015625
457927.6875,154111.796875
318331.90625,24072.400390625
313384.40625,95825.703125
394254.09375,118504.1015625
534664.8125,118905.296875
389335.59375,110338.203125
323700.40625,72523.3984375
516567.6875,161536.09375
427608.40625,111640.203125
446954.8125,214066.09375
300999.59375,70173.3984375
575079.8125,34469.1015625
466654.0,205710.90625
534946.875,139529.09375
547454.125,59623.30078125
308741.3125,24524.19921875
437856.6875,158505.90625
555022.5,107470.703125
365838.6875,69458.3984375
502133.09375,119430.3984375
452355.5,189785.703125
315038.1875,52968.80078125
392142.0,130577.1015625
522633.1875,89727.6015625
414178.09375,58425.19921875
357206.6875,134150.796875
458152.6875,186670.09375
576529.5,78746.1015625
294492.40625,70357.703125
327002.09375,73456.6015625
503118.1875,159891.59375
524441.0,165488.90625
587832.0,43947.1015625
472847.0,173779.203125
337728.6875,114644.3984375
587875.5,96553.703125
482987.5,143578.90625
493079.40625,196711.296875
423869.40625,86413.296875
286657.59375,46729.19921875
334843.1875,151856.796875
557645.625,135780.703125
390270.0,97918.1015625
427133.5,109701.8984375
323514.6875,24745.0
425437.6875,141170.703125
453198.40625,192358.59375
582936.875,91341.703125
472669.1875,104499.8984375
521478.09375,200494.796875
463631.40625,223138.09375
497020.09375,115935.296875
533316.5,212115.90625
521665.1875,199717.296875
333355.0,68272.3984375
328310.40625,55069.80078125
388815.8125,93471.296875
322503.09375,53114.69921875
332681.1875,24174.30078125
420232.09375,178496.703125
